table_name,table_type,table_comment,column_name,ordinal_position,data_type,is_nullable,column_default,column_comment,constraint_type,constraint_name,column_tags,table_tags
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,transaction,0,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,transaction_item,1,DECIMAL,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,transaction_type,2,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,ac,3,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,transaction_date,4,TIMESTAMP,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,transaction_hour,5,DECIMAL,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,transaction_minute,6,DECIMAL,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,defect_type,7,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,defect,8,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,defect_item,9,DECIMAL,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,wo,10,DECIMAL,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,task_card,11,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,goods_rcvd_batch,12,DECIMAL,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,pn,13,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,sn,14,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,position,15,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,reason_category,16,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,schedule_category,17,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,hours_installed,18,DECIMAL,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,minutes_installed,19,DECIMAL,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,cycles_installed,20,DECIMAL,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,days_installed,21,DECIMAL,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,nha_pn,22,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,nha_sn,23,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,nla,24,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,notes,25,DECIMAL,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,created_by,26,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,created_date,27,TIMESTAMP,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,modified_by,28,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,modified_date,29,TIMESTAMP,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,batch,30,DECIMAL,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,non_sn,31,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,station,32,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,recurrent,33,DECIMAL,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,status,34,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,transaction_type_control,35,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,chapter,36,DECIMAL,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,section,37,DECIMAL,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,paragraph,38,DECIMAL,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,tag_no,39,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,interface_ectm_transfer_by,40,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,interface_ectm_transfer_date,41,TIMESTAMP,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,removal_reason,42,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,nla_position,43,STRING,YES,,,,,,
qx_ppmtx_ac_pn_transaction_history,STREAMING_TABLE,Silver aircraft part transactions - validated component removal/installation history,remove_as_serviceable,44,STRING,YES,,,,,,
