gold_table,gold_column,data_type,silver_table,silver_column,transformation,transformation_logic
qx_ppmtx_gold_dim_part,dim_part_key,BIGINT,qx_ppmtx_pn_master,pn,GENERATED,"ROW_NUMBER() OVER (ORDER BY pn)"
qx_ppmtx_gold_dim_part,pn,STRING,qx_ppmtx_pn_master,pn,DIRECT_COPY,pn
qx_ppmtx_gold_dim_part,pn_description,STRING,qx_ppmtx_pn_master,pn_description,DIRECT_COPY,pn_description
qx_ppmtx_gold_dim_part,category,STRING,qx_ppmtx_pn_master,category,DIRECT_COPY,category
qx_ppmtx_gold_dim_part,sub_category,STRING,qx_ppmtx_pn_master,sub_category,DIRECT_COPY,sub_category
qx_ppmtx_gold_dim_part,expenditure,STRING,qx_ppmtx_pn_master,expenditure,DIRECT_COPY,expenditure
qx_ppmtx_gold_dim_part,stock_uom,STRING,qx_ppmtx_pn_master,stock_uom,DIRECT_COPY,stock_uom
qx_ppmtx_gold_dim_part,shelf_life_flag,STRING,qx_ppmtx_pn_master,shelf_life_flag,DIRECT_COPY,shelf_life_flag
qx_ppmtx_gold_dim_part,shelf_life_days,DECIMAL,qx_ppmtx_pn_master,shelf_life_days,DIRECT_COPY,shelf_life_days
qx_ppmtx_gold_dim_part,tool_calibration_flag,STRING,qx_ppmtx_pn_master,tool_calibration_flag,DIRECT_COPY,tool_calibration_flag
qx_ppmtx_gold_dim_part,tool_life_days,DECIMAL,qx_ppmtx_pn_master,tool_life_days,DIRECT_COPY,tool_life_days
qx_ppmtx_gold_dim_part,ri_flag,STRING,qx_ppmtx_pn_master,ri_flag,DIRECT_COPY,ri_flag
qx_ppmtx_gold_dim_part,pn_supersede,STRING,qx_ppmtx_pn_master,pn_supersede,DIRECT_COPY,pn_supersede
qx_ppmtx_gold_dim_part,standard_cost,DECIMAL,qx_ppmtx_pn_master,standard_cost,DIRECT_COPY,standard_cost
qx_ppmtx_gold_dim_part,average_cost,DECIMAL,qx_ppmtx_pn_master,average_cost,DIRECT_COPY,average_cost
qx_ppmtx_gold_dim_part,gl_company,STRING,qx_ppmtx_pn_master,gl_company,DIRECT_COPY,gl_company
qx_ppmtx_gold_dim_part,gl_expenditure,STRING,qx_ppmtx_pn_master,gl_expenditure,DIRECT_COPY,gl_expenditure
qx_ppmtx_gold_dim_aircraft,dim_aircraft_key,BIGINT,qx_ppmtx_ac_pn_transaction_history,ac,GENERATED,"ROW_NUMBER() OVER (ORDER BY ac)"
qx_ppmtx_gold_dim_aircraft,ac,STRING,qx_ppmtx_ac_pn_transaction_history,ac,DIRECT_COPY,"DISTINCT ac FROM multiple sources"
qx_ppmtx_gold_dim_aircraft,aircraft_type,STRING,qx_ppmtx_ac_pn_transaction_history,,GENERATED,"'E175'"
qx_ppmtx_gold_dim_station,dim_station_key,BIGINT,qx_ppmtx_ac_pn_transaction_history,station,GENERATED,"ROW_NUMBER() OVER (ORDER BY station_code)"
qx_ppmtx_gold_dim_station,station_code,STRING,qx_ppmtx_ac_pn_transaction_history,station,DIRECT_COPY,"DISTINCT station UNION DISTINCT location"
qx_ppmtx_gold_dim_station,station_name,STRING,qx_ppmtx_ac_pn_transaction_history,station,DERIVED_CONDITIONAL,"CASE station WHEN 'PDX' THEN 'Portland' ... END"
qx_ppmtx_gold_dim_ata_chapter,dim_ata_chapter_key,BIGINT,qx_ppmtx_defect_report,chapter,GENERATED,"ROW_NUMBER() OVER (ORDER BY chapter, section, paragraph)"
qx_ppmtx_gold_dim_ata_chapter,chapter,DECIMAL,qx_ppmtx_defect_report,chapter,DIRECT_COPY,chapter
qx_ppmtx_gold_dim_ata_chapter,section,DECIMAL,qx_ppmtx_defect_report,section,DIRECT_COPY,section
qx_ppmtx_gold_dim_ata_chapter,paragraph,DECIMAL,qx_ppmtx_defect_report,paragraph,DIRECT_COPY,paragraph
qx_ppmtx_gold_dim_ata_chapter,chapter_description,STRING,qx_ppmtx_defect_report,chapter,DERIVED_CONDITIONAL,"CASE chapter WHEN 49 THEN 'Auxiliary Power Unit' WHEN 72 THEN 'Engine' ... END"
qx_ppmtx_gold_dim_date,dim_date_key,INT,,,GENERATED,"CAST(date_format(calendar_date, 'yyyyMMdd') AS INT)"
qx_ppmtx_gold_dim_date,calendar_date,DATE,,,GENERATED,"sequence(DATE'2015-01-01', DATE'2030-12-31', INTERVAL 1 DAY)"
qx_ppmtx_gold_dim_date,year,INT,,,GENERATED,"YEAR(calendar_date)"
qx_ppmtx_gold_dim_date,quarter,INT,,,GENERATED,"QUARTER(calendar_date)"
qx_ppmtx_gold_dim_date,month,INT,,,GENERATED,"MONTH(calendar_date)"
qx_ppmtx_gold_dim_date,week_of_year,INT,,,GENERATED,"WEEKOFYEAR(calendar_date)"
qx_ppmtx_gold_dim_date,day_of_month,INT,,,GENERATED,"DAY(calendar_date)"
qx_ppmtx_gold_dim_date,day_name,STRING,,,GENERATED,"date_format(calendar_date, 'EEEE')"
qx_ppmtx_gold_dim_date,month_name,STRING,,,GENERATED,"date_format(calendar_date, 'MMMM')"
qx_ppmtx_gold_fact_component_removal,fact_component_removal_key,BIGINT,qx_ppmtx_ac_pn_transaction_history,transaction,GENERATED,"HASH(transaction, transaction_item)"
qx_ppmtx_gold_fact_component_removal,dim_part_key,BIGINT,qx_ppmtx_ac_pn_transaction_history,pn,LOOKUP,"JOIN dim_part ON pn"
qx_ppmtx_gold_fact_component_removal,dim_aircraft_key,BIGINT,qx_ppmtx_ac_pn_transaction_history,ac,LOOKUP,"JOIN dim_aircraft ON ac"
qx_ppmtx_gold_fact_component_removal,dim_station_key,BIGINT,qx_ppmtx_ac_pn_transaction_history,station,LOOKUP,"JOIN dim_station ON station"
qx_ppmtx_gold_fact_component_removal,dim_ata_chapter_key,BIGINT,qx_ppmtx_ac_pn_transaction_history,chapter,LOOKUP,"JOIN dim_ata_chapter ON (chapter, section, paragraph)"
qx_ppmtx_gold_fact_component_removal,transaction_date_key,INT,qx_ppmtx_ac_pn_transaction_history,transaction_date,DERIVED_CALCULATION,"CAST(date_format(CAST(transaction_date AS DATE), 'yyyyMMdd') AS INT)"
qx_ppmtx_gold_fact_component_removal,transaction,STRING,qx_ppmtx_ac_pn_transaction_history,transaction,DIRECT_COPY,transaction
qx_ppmtx_gold_fact_component_removal,transaction_item,DECIMAL,qx_ppmtx_ac_pn_transaction_history,transaction_item,DIRECT_COPY,transaction_item
qx_ppmtx_gold_fact_component_removal,transaction_type,STRING,qx_ppmtx_ac_pn_transaction_history,transaction_type,DIRECT_COPY,transaction_type
qx_ppmtx_gold_fact_component_removal,transaction_type_control,STRING,qx_ppmtx_ac_pn_transaction_history,transaction_type_control,DIRECT_COPY,transaction_type_control
qx_ppmtx_gold_fact_component_removal,sn,STRING,qx_ppmtx_ac_pn_transaction_history,sn,DIRECT_COPY,sn
qx_ppmtx_gold_fact_component_removal,nha_pn,STRING,qx_ppmtx_ac_pn_transaction_history,nha_pn,DIRECT_COPY,nha_pn
qx_ppmtx_gold_fact_component_removal,nha_sn,STRING,qx_ppmtx_ac_pn_transaction_history,nha_sn,DIRECT_COPY,nha_sn
qx_ppmtx_gold_fact_component_removal,position,STRING,qx_ppmtx_ac_pn_transaction_history,position,DIRECT_COPY,position
qx_ppmtx_gold_fact_component_removal,reason_category,STRING,qx_ppmtx_ac_pn_transaction_history,reason_category,DIRECT_COPY,reason_category
qx_ppmtx_gold_fact_component_removal,schedule_category,STRING,qx_ppmtx_ac_pn_transaction_history,schedule_category,DIRECT_COPY,schedule_category
qx_ppmtx_gold_fact_component_removal,hours_installed,DECIMAL,qx_ppmtx_ac_pn_transaction_history,hours_installed,DIRECT_COPY,hours_installed
qx_ppmtx_gold_fact_component_removal,minutes_installed,DECIMAL,qx_ppmtx_ac_pn_transaction_history,minutes_installed,DIRECT_COPY,minutes_installed
qx_ppmtx_gold_fact_component_removal,cycles_installed,DECIMAL,qx_ppmtx_ac_pn_transaction_history,cycles_installed,DIRECT_COPY,cycles_installed
qx_ppmtx_gold_fact_component_removal,days_installed,DECIMAL,qx_ppmtx_ac_pn_transaction_history,days_installed,DIRECT_COPY,days_installed
qx_ppmtx_gold_fact_component_removal,qty,DECIMAL,qx_ppmtx_ac_pn_transaction_history,qty,DIRECT_COPY,qty
qx_ppmtx_gold_fact_component_removal,defect_type,STRING,qx_ppmtx_ac_pn_transaction_history,defect_type,DIRECT_COPY,defect_type
qx_ppmtx_gold_fact_component_removal,defect,STRING,qx_ppmtx_ac_pn_transaction_history,defect,DIRECT_COPY,defect
qx_ppmtx_gold_fact_component_removal,wo,DECIMAL,qx_ppmtx_ac_pn_transaction_history,wo,DIRECT_COPY,wo
qx_ppmtx_gold_fact_component_removal,tag_no,STRING,qx_ppmtx_ac_pn_transaction_history,tag_no,DIRECT_COPY,tag_no
qx_ppmtx_gold_fact_component_removal,removal_reason,STRING,qx_ppmtx_ac_pn_transaction_history,removal_reason,DIRECT_COPY,removal_reason
qx_ppmtx_gold_fact_component_removal,status,STRING,qx_ppmtx_ac_pn_transaction_history,status,DIRECT_COPY,status
qx_ppmtx_gold_fact_defect,fact_defect_key,BIGINT,qx_ppmtx_defect_report,defect,GENERATED,"HASH(defect_type, defect, defect_item)"
qx_ppmtx_gold_fact_defect,dim_aircraft_key,BIGINT,qx_ppmtx_defect_report,ac,LOOKUP,"JOIN dim_aircraft ON ac"
qx_ppmtx_gold_fact_defect,dim_ata_chapter_key,BIGINT,qx_ppmtx_defect_report,chapter,LOOKUP,"JOIN dim_ata_chapter ON (chapter, section, paragraph)"
qx_ppmtx_gold_fact_defect,reported_date_key,INT,qx_ppmtx_defect_report,reported_date,DERIVED_CALCULATION,"CAST(date_format(CAST(reported_date AS DATE), 'yyyyMMdd') AS INT)"
qx_ppmtx_gold_fact_defect,resolved_date_key,INT,qx_ppmtx_defect_report,resolved_date,DERIVED_CALCULATION,"CAST(date_format(CAST(resolved_date AS DATE), 'yyyyMMdd') AS INT)"
